CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/18/2016,4:45,,,,,,BROADWAY                        ,PUTNAM AVENUE,,0,0,0,0,0,0,0,0,Failure to Keep Right,Following Too Closely,Unspecified,,,3420253,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,13:30,,,,,,Richmond Avenue                 ,Yukon Avenue,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3429939,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,16:30,,,40.74121,-73.83737,"(40.74121, -73.83737)",Van Wyck Expy                   ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3426867,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,9:17,BROOKLYN,11212,,,,LINDEN BOULEVARD                ,HEGEMAN AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3418282,4 dr sedan,4 dr sedan,,,
03/18/2016,13:51,,,40.72509,-73.99532,"(40.72509, -73.99532)",Lafayette St                    ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3405633,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,0:10,MANHATTAN,10016,,,,EAST 36 STREET                  ,3 AVENUE,,0,0,0,0,0,0,1,0,Unspecified,,,,,3407597,4 dr sedan,,,,
03/18/2016,20:18,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3409561,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,17:00,MANHATTAN,10280,40.708828,-74.016205,"(40.708828, -74.016205)",,,200       RECTOR PLACE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3405224,Motorcycle,,,,
03/18/2016,19:00,,,40.72457,-73.73411,"(40.72457, -73.73411)",,,222 STREET                              ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3423688,4 dr sedan,4 dr sedan,,,
03/18/2016,12:40,,,40.728928,-73.9195,"(40.728928, -73.9195)",,,48 STREET                               ,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,3425552,Dump,Dump,,,
